Name,'10,'100,'1000,'10000,'100000
Persistent Hash Map (C#),62,96,150,288,584
Persistent Hash Map (F#),64,104,152,249,512
FSharpx.Collections,184,284,436,521,870
Prime.HMap,88,142,186,305,649
Imms.ImmMap,89,184,300,587,1532
ImTools.ImHashMap (C#),34,67,145,289,878
ImTools.HashMap (C#),10,18,27,17,33
ConcurrentDictionary (C#),28,29,36,33,64
System.Collections.Immutable,212,434,820,989,1629
Map (F#),210,591,996,1510,2329
